"","NAME","YEAR","TEAM","TIME"
"1324","Ferguson-Dryden, Spencer","SR-4","Amherst","25:10.6"
"1325","Wysong, Trevor","SR-4","Bridgewater St.","25:11.3"
"1326","Colaizzi, Tristan","SR-4","Williams","25:15.9"
"1327","McAlister, Weyessa","SR-4","Trinity (Conn.)","25:17.4"
"1328","Mah, Andrew","SO-2","MIT","25:18.2"
"1329","Aschale, Danny","SR-4","Connecticut College","25:22.1"
"1330","Rust, Bart","SO-2","Bates","25:22.5"
"1331","Hickey, Jacob","JR-3","U. of New England","25:24.0"
"1332","Csiki-Fejer, Matyas","SO-2","Suffolk","25:29.5"
"1333","Reynolds, David","FR-1","WPI","25:29.6"
"1334","Massey, Billy","JR-3","Amherst","25:30.6"
"1335","Lad, Vedang","FR-1","MIT","25:31.5"
"1336","Frick, Ewan","SO-2","Colby","25:32.2"
"1337","Schuldt, Braxton","JR-3","Amherst","25:33.7"
"1338","Fleming, Henry","SR-4","Middlebury","25:34.1"
"1339","Ostertag-Hill, Luca","SR-4","Bowdoin","25:35.7"
"1340","Nure, Yahya","SO-2","Southern Maine","25:36.2"
"1341","Levine, Justin","SR-4","Bates","25:36.7"
"1342","Derrick, Josh","SR-4","MIT","25:36.7"
"1343","Lessans, Max","SO-2","Colby","25:39.8"
"1344","Kearney, Matthew","FR-1","MIT","25:40.0"
"1345","Kibet, Collins","SO-2","Colby","25:45.8"
"1346","McMorrow, Kevin","SR-4","Wesleyan","25:46.9"
"1347","Wilson, Ryan","SO-2","MIT","25:49.2"
"1348","Meredith, Andrew","SO-2","Bowdoin","25:49.5"
"1349","Boesch-Dining, Eli","FR-1","Bates","25:50.6"
"1350","Raff, Henry","SO-2","Bates","25:52.1"
"1351","Lautenbach, Tim","SO-2","Trinity (Conn.)","25:53.1"
"1352","Mazdisnian, Keon","FR-1","Amherst","25:55.3"
"1353","Montgomery, Connor","SR-4","Middlebury","25:56.5"
"1354","Lombardo, Josh","JR-3","Brandeis","25:57.3"
"1355","Mazzola, Jamie","JR-3","Amherst","25:58.8"
"1356","Gade, Neerav","SO-2","Tufts","25:59.8"
"1357","Love, Jeffrey","FR-1","Connecticut College","26:00.8"
"1358","Sarathy, Ajay","JR-3","Amherst","26:01.5"
"1359","Daily, Owen","SO-2","Amherst","26:03.4"
"1360","Pearl, Jake","FR-1","Keene State","26:03.8"
"1361","Potter, Henry","SO-2","Trinity (Conn.)","26:07.0"
"1362","Murdy, Mark","SO-2","Brandeis","26:07.4"
"1363","Nealis, Ryan","JR-3","Bates","26:08.2"
"1364","Brooks, Brian","SO-2","WPI","26:08.3"
"1365","Jacobson-Schulte, Finn","JR-3","MIT","26:08.8"
"1366","Barber, Tucker","JR-3","Bates","26:09.7"
"1367","Ensslin, Evan","FR-1","Tufts","26:10.1"
"1368","Nero, Patrick","JR-3","Tufts","26:10.4"
"1369","Weeks, Ryan","FR-1","WPI","26:11.1"
"1370","Kessler, Zander","SO-2","Middlebury","26:12.8"
"1371","Hassett, John","SO-2","Maine Maritime","26:13.6"
"1372","Scarponi, Jake","SR-4","WPI","26:14.7"
"1373","Higgins, Josh","SR-4","Bridgewater St.","26:14.8"
"1374","Bajohr, William","SR-4","Wesleyan","26:15.0"
"1375","McGaugh, Quin","SO-2","Middlebury","26:15.1"
"1376","Merck, Jack","FR-1","Westfield State","26:16.4"
"1377","Gaudette, Logan","JR-3","WPI","26:16.9"
"1378","Fottler, Andrew","SO-2","Worcester State","26:17.1"
"1379","Stromski, Steve","SO-2","UMass Dartmouth","26:17.7"
"1380","Ross, Dale","SO-2","Wesleyan","26:17.8"
"1381","Mellor, Ben","SO-2","Colby","26:18.5"
"1382","Driben, Matthew","SO-2","Brandeis","26:20.0"
"1383","Carroll, Austin","FR-1","UMass Dartmouth","26:20.6"
"1384","Movsessian, Jacob","JR-3","Fitchburg St.","26:20.6"
"1385","Rainsby, Graham","JR-3","Middlebury","26:21.1"
"1386","Bogomolov, Timothy","SR-4","Trinity (Conn.)","26:22.8"
"1387","Van Inwegen, Grant","SR-4","Wesleyan","26:24.2"
"1388","Martin, Travis","FR-1","Trinity (Conn.)","26:25.1"
"1389","Linsky, Adam","SR-4","Wesleyan","26:25.6"
"1390","McGlumphy, Jacob","SR-4","Coast Guard","26:25.7"
"1391","Hanlon, Tom","SR-4","WPI","26:26.8"
"1392","Gamache, Jacob","FR-1","Southern Maine","26:28.4"
"1393","Allen, Russell","SO-2","Springfield","26:30.4"
"1394","Gebremikael, Masho","JR-3","Southern Maine","26:31.0"
"1395","Jones, Ben","SR-4","Colby-Sawyer","26:31.7"
"1396","Olson, Michael","FR-1","Plymouth State","26:31.9"
"1397","Ingegneri, Avery","SR-4","WPI","26:32.3"
"1398","Gatti, Sam","SO-2","Tufts","26:36.8"
"1399","Pedersen, Jon","JR-3","Regis (Mass.)","26:37.0"
"1400","Vazquez, Ben","SO-2","Connecticut College","26:37.7"
"1401","Harmon, Joseph","SO-2","Tufts","26:38.3"
"1402","Seigne, Colm","FR-1","Connecticut College","26:39.3"
"1403","Walker, John","SO-2","Eastern Conn. St.","26:39.4"
"1404","Hendricks, Troy","SO-2","St. Joseph's (Me.)","26:41.2"
"1405","Hutchinson, Mike","SR-4","Bridgewater St.","26:41.8"
"1406","Bond, Joel","SO-2","Husson","26:42.0"
"1407","Aboud, Michael","SR-4","Southern Maine","26:42.8"
"1408","Doyle, Matthew","JR-3","Coast Guard","26:43.6"
"1409","Auer, John","FR-1","Bowdoin","26:43.7"
"1410","O'Sullivan, Collin","SO-2","Tufts","26:44.1"
"1411","Dettmann, Robert","SR-4","Colby","26:44.3"
"1412","Chase, Cameron","","UMass Boston","26:45.3"
"1413","Litowitz, Jack","SR-4","Middlebury","26:45.6"
"1414","Fleming, Liam","JR-3","Colby-Sawyer","26:46.6"
"1415","Gappelberg, Eli","FR-1","Wesleyan","26:47.0"
"1416","Carter, Matt","FR-1","Connecticut College","26:48.3"
"1417","Escoda, Ryan","SO-2","Eastern Conn. St.","26:48.8"
"1418","Tyler, Stephen","JR-3","Trinity (Conn.)","26:49.1"
"1419","Fuell, Ted","FR-1","Bowdoin","26:49.6"
"1420","Baughman, Morgan","SO-2","Connecticut College","26:50.3"
"1421","Mathies, Jason","FR-1","Southern Maine","26:50.4"
"1422","Stathos, Nic","SO-2","Bates","26:52.6"
"1423","Giersch, Connor","FR-1","Tufts","26:52.7"
"1424","McKearin, Gannon","JR-3","Castleton University","26:55.0"
"1425","Frishkoff, Matthew","JR-3","Wesleyan","26:55.2"
"1426","Vermette, Ryan","JR-3","Springfield","26:56.3"
"1427","Dong, Vincent","JR-3","Bowdoin","26:56.3"
"1428","Estony, William","JR-3","Trinity (Conn.)","26:56.8"
"1429","Shimata, Trenton","JR-3","Norwich","26:57.7"
"1430","Brackett, Casey","FR-1","Brandeis","26:59.2"
"1431","Roth, Joseph","JR-3","Coast Guard","26:59.3"
"1432","Brobst, Erik","SR-4","Emmanuel (Mass.)","26:59.8"
"1433","Ottman, Jarrod","SR-4","Thomas College","27:02.4"
"1434","Milsark, Ethan","JR-3","Connecticut College","27:02.6"
"1435","Grady, Conner","JR-3","Westfield State","27:03.0"
"1436","Eldridge, Eagan","JR-3","Southern Maine","27:03.5"
"1437","Bentley, Zachary","JR-3","Westfield State","27:03.9"
"1438","Alvarado, Douglas","FR-1","Bridgewater St.","27:04.2"
"1439","Torres, Miguel","FR-1","Framingham St.","27:05.2"
"1440","Chase, Anthony","SO-2","U. of New England","27:06.4"
"1441","Pires, Bruno","JR-3","UMass Dartmouth","27:07.6"
"1442","Carey, Wayne","SO-2","Worcester State","27:07.7"
"1443","Wright, Tyler","SO-2","Eastern Conn. St.","27:09.2"
"1444","King, Aidan","JR-3","Bowdoin","27:12.3"
"1445","Santese, Joseph","SR-4","Nichols","27:12.6"
"1446","Page, Evan","FR-1","Gordon","27:13.1"
"1447","Barrett, Michael","FR-1","Plymouth State","27:13.6"
"1448","Costello, Greg","SO-2","Coast Guard","27:14.4"
"1449","Durant, Kevin","SO-2","Framingham St.","27:14.5"
"1450","Ortega, Gabriel","FR-1","Babson","27:15.0"
"1451","Chace, Maxwell","JR-3","Eastern Conn. St.","27:16.9"
"1452","Thombs, Luke","SR-4","Wheaton (Mass.)","27:19.6"
"1453","Byington, Noah","SR-4","Plymouth State","27:19.9"
"1454","Curley, Dan","SR-4","Brandeis","27:21.0"
"1455","Hajj, Kyle","JR-3","Emmanuel (Mass.)","27:21.6"
"1456","King, Brian","JR-3","Worcester State","27:23.5"
"1457","VanDeren, Adam","JR-3","Coast Guard","27:24.7"
"1458","Tringali, Christopher","SR-4","Springfield","27:26.5"
"1459","Peters, Brooks","FR-1","Bowdoin","27:27.9"
"1460","Caldwell, Ryan","FR-1","Springfield","27:30.4"
"1461","Chichester, Christopher","JR-3","NVU-Lyndon","27:34.0"
"1462","Weston, Joe","JR-3","Fitchburg St.","27:34.5"
"1463","Rayner, Kevin","SR-4","Westfield State","27:35.5"
"1464","Virkler, Nick","SR-4","Babson","27:36.5"
"1465","DeRosa, John","FR-1","Springfield","27:37.2"
"1466","Moreau, Robert","JR-3","Bridgewater St.","27:37.5"
"1467","Bergeron, Zachary","SO-2","Norwich","27:38.2"
"1468","Regan, Collin","SO-2","Babson","27:40.2"
"1469","DeYoung, Chris","SO-2","U. of New England","27:40.5"
"1470","Jordon, Thomas","SR-4","Coast Guard","27:41.1"
"1471","Mula, Adam","FR-1","Springfield","27:41.5"
"1472","Brimeyer, Wes","JR-3","Wentworth","27:42.1"
"1473","Swift, Jorich","SO-2","Eastern Conn. St.","27:42.4"
"1474","Baker, Cole","FR-1","RIC","27:43.1"
"1475","Sheehy, Tim","JR-3","Fitchburg St.","27:43.2"
"1476","Coope, Brent","FR-1","Plymouth State","27:43.3"
"1477","Imboque, Ianique","FR-1","RIC","27:43.4"
"1478","Toyoda, Hunter","SO-2","Suffolk","27:44.2"
"1479","Hayden, Connor","JR-3","Roger Williams","27:46.8"
"1480","Tobin , Shawn","SO-2","Nichols","27:49.0"
"1481","Kavanugh, David","FR-1","St. Joseph (Conn.)","27:49.3"
"1482","Harriman, Nick","SR-4","Southern Maine","27:50.9"
"1483","Beshere, Nikolas","JR-3","Bridgewater St.","27:51.9"
"1484","Rodgers, Alec","SR-4","Brandeis","27:53.4"
"1485","Van Ess, Joseph","SO-2","Maine Maritime","27:53.5"
"1486","McGuire, Jack","SR-4","Endicott","27:54.1"
"1487","Platt, Ben","SR-4","Plymouth State","27:55.2"
"1488","DiStauro, Anthony","FR-1","Westfield State","27:55.6"
"1489","Wolf, Aylen","JR-3","Maine Maritime","27:55.9"
"1490","Kimball, Christopher","JR-3","Nichols","27:56.4"
"1491","Toro, Sebastian","SR-4","Gordon","27:59.0"
"1492","Wheeler, Jared","SR-4","Castleton University","27:59.3"
"1493","Kinuthia, Jaydon","FR-1","Framingham St.","27:59.6"
"1494","Von Brock, Ryan","SO-2","Coast Guard","28:02.3"
"1495","Hooper, Jarrod","SO-2","Thomas College","28:02.6"
"1496","Heavey, Patrick","FR-1","Wentworth","28:05.7"
"1497","Bean, Cameron","JR-3","Westfield State","28:06.0"
"1498","Morin, Benjamin","SO-2","Worcester State","28:06.3"
"1499","Custodio, Richard","SR-4","Worcester State","28:06.5"
"1500","Devine , Alec","SO-2","Wheaton (Mass.)","28:08.1"
"1501","Marrero, Dylan","FR-1","Maine-Presque Isle","28:08.2"
"1502","Turpel, Ian","FR-1","Colby-Sawyer","28:08.4"
"1503","Flint, Samuel","FR-1","Fitchburg St.","28:08.6"
"1504","Tierney, Michael","SR-4","UMass Dartmouth","28:09.3"
"1505","Bolduc, Cole","FR-1","Suffolk","28:09.9"
"1506","Glass, Oliver","FR-1","Emerson","28:10.0"
"1507","Raimondi, Dylan","FR-1","Babson","28:10.7"
"1508","Coburn, Zach","JR-3","Keene State","28:12.1"
"1509","Carleton, Patrick","SO-2","Worcester State","28:12.6"
"1510","Lancaster, Cullen","FR-1","Framingham St.","28:12.7"
"1511","Bill, Cory","FR-1","Eastern Conn. St.","28:14.7"
"1512","Heffernan, Zack","JR-3","Endicott","28:15.0"
"1513","Dillon, Miles","FR-1","Suffolk","28:16.4"
"1514","Smith, Ryan","FR-1","Wentworth","28:16.8"
"1515","Mboma, Voldivain","FR-1","Husson","28:18.8"
"1516","Alexander, Nolan","FR-1","U. of New England","28:20.1"
"1517","Sachetta, Nick","SO-2","Fitchburg St.","28:20.4"
"1518","Gao, Brian","SR-4","Brandeis","28:20.4"
"1519","Huberdeau, Jacob","SO-2","St. Joseph's (Me.)","28:22.8"
"1520","March, Richard","JR-3","Nichols","28:23.8"
"1521","Walker, Alec","SR-4","U. of New England","28:24.5"
"1522","Catarius, Matt","FR-1","Fitchburg St.","28:25.6"
"1523","Herschlag, Colin","JR-3","Roger Williams","28:26.1"
"1524","Moscoso, Lukas","JR-3","Bridgewater St.","28:26.6"
"1525","Germaine, Adam","SR-4","Endicott","28:27.4"
"1526","Stucky, Nathaniel","SO-2","Norwich","28:27.8"
"1527","Spooner, Anthony","","Western NE","28:28.8"
"1528","Wolf, Jared","JR-3","Plymouth State","28:28.9"
"1529","Dolcine, Travis","SR-4","UMass Dartmouth","28:30.8"
"1530","Allen, Will","JR-3","Wentworth","28:33.4"
"1531","Rapsas, William","JR-3","Norwich","28:34.0"
"1532","Turner, Justin","FR-1","Suffolk","28:35.2"
"1533","Poccia, Marcus","JR-3","Endicott","28:35.9"
"1534","Arora, Samir","SR-4","Babson","28:36.5"
"1535","Michael, Austin","FR-1","RIC","28:36.6"
"1536","Kniska , Andrew","SO-2","Wheaton (Mass.)","28:37.8"
"1537","Day, Jackson","","Western NE","28:38.1"
"1538","Eberli, Jacob","","Western NE","28:42.7"
"1539","Chipchak, Chris","SR-4","Roger Williams","28:43.3"
"1540","Marchioni, Tyler","JR-3","Roger Williams","28:43.9"
"1541","Duffy, Donovan","JR-3","U. of New England","28:44.4"
"1542","Nihill, DJ","FR-1","UMass Dartmouth","28:44.4"
"1543","Reyes, Ricky","FR-1","St. Joseph's (Me.)","28:46.7"
"1544","Mau, Kyle","SO-2","Plymouth State","28:46.9"
"1545","Gasiorowski, Dylan","FR-1","Springfield","28:47.6"
"1546","Hunt, William","SO-2","Gordon","28:47.9"
"1547","Connelly, Will","JR-3","Endicott","28:48.3"
"1548","Gardner, Vincent","FR-1","UMass Dartmouth","28:48.4"
"1549","Beckerman, Ryan","FR-1","Thomas College","28:49.7"
"1550","Hendricks, Christian","SO-2","Regis (Mass.)","28:50.5"
"1551","Campbell, Matthew","SO-2","Babson","28:53.3"
"1552","Marwill, Joe","SO-2","Babson","28:53.4"
"1553","Vitareilli, Alex","SO-2","U. of New England","28:53.5"
"1554","Oü¾Œ£¤¼Sullivan, Brian","FR-1","Fitchburg St.","28:53.6"
"1555","Gonzales, Cameron","JR-3","Eastern Conn. St.","28:53.9"
"1556","Ewanyk, Ryan","SO-2","Clark (Mass.)","28:53.9"
"1557","McClary, Spencer","SO-2","Colby-Sawyer","28:57.1"
"1558","Richards, Dylan","SO-2","Keene State","28:57.8"
"1559","Reid, Isaiah","JR-3","Maine-Farmington","28:57.9"
"1560","Malm, Nick","SO-2","Suffolk","28:59.7"
"1561","Portanova, Alexander","FR-1","Framingham St.","29:01.1"
"1562","Boyadjiev, Christian","FR-1","Wentworth","29:01.4"
"1563","Elmer, Ricky","SO-2","Elms","29:01.9"
"1564","Lynch, Aidan","JR-3","Salve Regina","29:03.5"
"1565","Jeanjaquet, Brendan","FR-1","Wentworth","29:04.7"
"1566","Moran, Rob","JR-3","Wentworth","29:06.1"
"1567","Veverka, Liam","SO-2","Maine Maritime","29:07.6"
"1568","Lubega, Prosper","","UMass Boston","29:08.0"
"1569","Symons, Jonathan","FR-1","UMass Boston","29:09.4"
"1570","Jones, Nate","FR-1","Norwich","29:10.3"
"1571","Corso , Anthony","FR-1","Regis (Mass.)","29:13.1"
"1572","Gundrum, Jeremy","SO-2","SUNY Canton","29:15.9"
"1573","MacNeil, Joseph","JR-3","Emerson","29:16.6"
"1574","Mason, Michael","JR-3","St. Joseph's (Me.)","29:16.7"
"1575","Sagers, Ian","FR-1","Roger Williams","29:16.7"
"1576","McNight, Tristan","FR-1","Colby-Sawyer","29:19.8"
"1577","Withrow, Geralson","JR-3","Lasell","29:20.8"
"1578","Ashby, Joe","SO-2","Maine-Farmington","29:21.1"
"1579","Walley, Jesse","SO-2","SUNY Canton","29:22.3"
"1580","Hartman, Zach","JR-3","Husson","29:23.9"
"1581","Jutras, Brett","SR-4","Salve Regina","29:27.8"
"1582","Griffin, Ryan","JR-3","Nichols","29:30.0"
"1583","Monroe, Adam","","Western NE","29:31.0"
"1584","Procko, Billy","FR-1","Maine Maritime","29:31.4"
"1585","Rosselli, Nick","FR-1","Western NE","29:32.8"
"1586","Smith, Auguste","FR-1","Western Conn. St. Univ.","29:33.6"
"1587","Butterfield, Ben","FR-1","Maine Maritime","29:34.0"
"1588","Turner, Andrew","JR-3","Norwich","29:34.5"
"1589","Courtney, Nick","FR-1","Roger Williams","29:35.8"
"1590","Da Cruz, Chandler","SR-4","Salve Regina","29:37.2"
"1591","Chamberlain, Isaiah","JR-3","Clark (Mass.)","29:37.4"
"1592","Dionne, Hunter","SO-2","Maine-Presque Isle","29:39.1"
"1593","Serrano, Kevin","JR-3","Emerson","29:40.4"
"1594","Doig, Robert","SO-2","Worcester State","29:40.6"
"1595","Sullivan, Brendan","SO-2","Colby-Sawyer","29:40.6"
"1596","Foster, David","SO-2","Nichols","29:40.8"
"1597","Russom , Matthew","SO-2","RIC","29:42.0"
"1598","Holden, Matt","SR-4","Lasell","29:43.0"
"1599","Rancourt, Riley","SR-4","Salve Regina","29:43.7"
"1600","Ursillo, Matthew","SO-2","Johnson & Wales (R.I.)","29:47.8"
"1601","Gorman , Robert","SO-2","Eastern Nazarene","29:48.7"
"1602","Rohm, Eric","FR-1","Western Conn. St. Univ.","29:49.3"
"1603","Page, Samuel","SO-2","Endicott","29:50.3"
"1604","Pharmer, Paul","FR-1","Framingham St.","29:52.0"
"1605","Labbe, Jason","SO-2","Maine-Farmington","29:56.0"
"1606","Chaghlil, Mohammed","SR-4","RIC","29:57.2"
"1607","Whitlock, Brandon","JR-3","St. Joseph's (Me.)","29:58.7"
"1608","Engel, Liam","FR-1","Roger Williams","29:59.5"
"1609","Sahagian, Nicholas","SR-4","Regis (Mass.)","30:00.3"
"1610","Miranda, Manuel","FR-1","Framingham St.","30:00.5"
"1611","Malorzo, Nathan","FR-1","Johnson & Wales (R.I.)","30:07.2"
"1612","O'Hern, Kyle","","Western NE","30:07.9"
"1613","Owens, Tanner","SR-4","Salve Regina","30:09.2"
"1614","McQuarrie, Owen","FR-1","Thomas College","30:09.5"
"1615","Curry, Zach","FR-1","Johnson & Wales (R.I.)","30:12.4"
"1616","Williams, Levi","SO-2","Castleton University","30:12.9"
"1617","Robinson, Joseph","SO-2","Suffolk","30:14.1"
"1618","Cronin, Matthew","JR-3","Emmanuel (Mass.)","30:14.6"
"1619","Mosher, Harrison","SO-2","Thomas College","30:15.1"
"1620","Bear, Michael","FR-1","NVU-Lyndon","30:17.1"
"1621","Fischer, Kevin","SO-2","Wheaton (Mass.)","30:19.3"
"1622","Rice, Collin","SO-2","Westfield State","30:21.1"
"1623","Boissonnault, Jacob","SR-4","St. Joseph's (Me.)","30:21.8"
"1624","Sharma, Bobby","JR-3","Clark (Mass.)","30:22.2"
"1625","McKinnon, Liam","FR-1","Husson","30:22.3"
"1626","Fried, Jordan","SR-4","Maine-Farmington","30:22.9"
"1627","Riego De Dios, Allen","FR-1","Western Conn. St. Univ.","30:24.7"
"1628","Pereira , Nicholas","SR-4","Johnson & Wales (R.I.)","30:25.5"
"1629","McAllister, Zackary","FR-1","Maine-Presque Isle","30:26.3"
"1630","Carney, Evan","FR-1","Mitchell","30:31.2"
"1631","Abbott, Devin","FR-1","St. Joseph's (Me.)","30:32.1"
"1632","Lupien, Dylan","FR-1","Castleton University","30:37.3"
"1633","Lorey, Kyle","SR-4","SUNY Canton","30:39.1"
"1634","Rodgers, Oliver","JR-3","Castleton University","30:39.5"
"1635","Loiselle, Daniel","JR-3","Norwich","30:41.4"
"1636","Legagneur, Phillipe","JR-3","Emerson","30:47.3"
"1637","Boisbsky, Dylan","JR-3","RIC","30:48.6"
"1638","York, Benjamin","SO-2","SUNY Canton","30:50.1"
"1639","Burstein, Jay","FR-1","Salve Regina","30:50.6"
"1640","Ryan, Brandon","FR-1","Castleton University","30:54.4"
"1641","Tibbles, Joseph","FR-1","Gordon","30:55.1"
"1642","Knox, Eric","SO-2","St. Joseph (Conn.)","31:07.9"
"1643","Hernandez, Rich","SR-4","Elms","31:08.0"
"1644","Carroll , Michael","FR-1","Regis (Mass.)","31:22.3"
"1645","Africano, Joey","","Western NE","31:24.5"
"1646","Polsgrove, Ryan","FR-1","Eastern Nazarene","31:27.1"
"1647","Eubanks, Owen","FR-1","Johnson & Wales (R.I.)","31:28.5"
"1648","O'Neil, Austin","FR-1","Husson","31:32.2"
"1649","Ryan , Noah","FR-1","Regis (Mass.)","31:35.6"
"1650","Kirsch, Zachary","FR-1","Lasell","31:35.8"
"1651","Radavich, Kevin","SR-4","Nichols","31:38.2"
"1652","Welch, Patrick","SR-4","Husson","31:41.1"
"1653","Smith, Ricky","SO-2","Husson","31:42.3"
"1654","Sibley, Isaac","FR-1","Mass. Liberal Arts","31:42.3"
"1655","Stoeppel, Sean","JR-3","Endicott","31:46.2"
"1656","Ryan, Ben","JR-3","Clark (Mass.)","31:46.3"
"1657","Silvia, Chase","JR-3","Gordon","31:48.0"
"1658","Chavez, Anthony Marc","FR-1","Johnson & Wales (R.I.)","31:48.6"
"1659","Keenan, Cameron","SO-2","Clark (Mass.)","31:52.7"
"1660","Allen, Timothy","FR-1","SUNY Canton","31:56.1"
"1661","Curra, Dominick","SO-2","Western Conn. St. Univ.","32:02.6"
"1662","Almeida, Jacob","FR-1","Gordon","32:03.1"
"1663","Clancey, Brendan","SR-4","Salve Regina","32:13.6"
"1664","Reed, Jonathan","JR-3","UMass Boston","32:17.4"
"1665","Caldwell, Jaden","FR-1","SUNY Canton","32:19.4"
"1666","Broussard, Michael","FR-1","Western Conn. St. Univ.","32:20.6"
"1667","Manon-Porcella, Mario","SO-2","St. Joseph (Conn.)","32:22.0"
"1668","Figuereo, Guillermo","JR-3","Clark (Mass.)","32:22.8"
"1669","Mahan, Will","FR-1","Clark (Mass.)","32:36.8"
"1670","Lot, William","FR-1","Gordon","32:41.7"
"1671","Mullen, Kyle","SR-4","Lasell","32:52.7"
"1672","Meserve, Cameron","FR-1","Thomas College","32:58.7"
"1673","Giacomuzzi, Hunter","SR-4","Maine Maritime","33:02.3"
"1674","Martinez, Kyandre","JR-3","Eastern Nazarene","33:10.6"
"1675","Curley, Brendan","JR-3","Elms","33:22.2"
"1676","Kuca, Owen","SO-2","SUNY Canton","33:30.3"
"1677","Pasquarello, Nathan","JR-3","Johnson & Wales (R.I.)","33:34.3"
"1678","Ross, Derek","SO-2","Western Conn. St. Univ.","33:49.2"
"1679","Clark, Nicholas","FR-1","Maine-Presque Isle","34:22.3"
"1680","Aiguier, Sam","FR-1","Maine-Farmington","34:27.4"
"1681","Maldonado, Alejandro","FR-1","UMass Boston","34:29.5"
"1682","Cianciolo, Donald","JR-3","Elms","34:32.7"
"1683","McAlister, Devin","FR-1","Emerson","34:41.7"
"1684","Crocker, Josh","SO-2","Thomas College","34:53.0"
"1685","Morin, Cam","SO-2","Maine-Farmington","35:05.0"
"1686","O'Melia, Daniel","JR-3","Elms","35:28.1"
"1687","Merrigan, Joseph","SO-2","Eastern Nazarene","35:36.3"
"1688","Peet, Jacob","SR-4","Castleton University","35:44.6"
"1689","Chhorn, Chamroeun","SO-2","St. Joseph (Conn.)","35:45.9"
"1690","Persall, Sam","JR-3","Emerson","36:07.4"
"1691","Gilding, Peter","JR-3","NVU-Lyndon","36:08.4"
"1692","McCreary, Bennett","SO-2","Elms","36:11.4"
"1693","LaBruto, Anthony","FR-1","Emerson","36:12.3"
"1694","Soper, Joel","FR-1","Maine-Presque Isle","36:14.6"
"1695","Wallin, Kevin","SR-4","Lasell","37:29.1"
"1696","Velasquez, Alejandro","SO-2","Western Conn. St. Univ.","39:05.9"
"1697","Folk , Seth","SO-2","Eastern Nazarene","39:11.5"
"1698","Jones, Theodore","SR-4","Mass. Liberal Arts","DNF"
"1699","Sclafani, Dominic","SO-2","Wheaton (Mass.)","DNS"
"1700","Simoneau, Alex","SO-2","WPI","DNS"
"1701","Hoyle, Zachariah","JR-3","Southern Maine","DNS"
"1702","Whetstone, Jack","JR-3","Emory","24:49.3"
"1703","Sparks,  Maximillian","SO-2","Lynchburg","25:07.0"
"1704","Gibson, Jeff","SR-4","Mary Washington","25:08.7"
"1705","Moore, Spencer","SO-2","Emory","25:11.8"
"1706","Freyaldenhoven, Toler","SR-4","Rhodes","25:14.8"
"1707","Myers, Michael","SR-4","Southern Virginia","25:16.1"
"1708","Cox, John","JR-3","Emory","25:17.8"
"1709","Rankin , Nathaneal","JR-3","Ozarks (Ark.)","25:19.0"
"1710","Bellow, Harry","SR-4","Trinity (Tex.)","25:20.9"
"1711","Salgado, Sair","SO-2","Berea","25:24.6"
"1712","Lucas, Brett","SO-2","Emory","25:27.7"
"1713","Lattuca, Skyler","SO-2","Virginia Wesleyan","25:29.8"
"1714","Cope, Daniel","JR-3","Washington and Lee","25:33.3"
"1715","Midyett, Ash","SR-4","U. of the South","25:35.3"
"1716","Putnam, Jason","SR-4","Christopher Newport","25:38.3"
"1717","Carson, Tanner","SR-4","Berea","25:42.2"
"1718","Wilson, Luke","FR-1","Berea","25:44.8"
"1719","Kattenberg, Egan","JR-3","Emory","25:45.7"
"1720","Gmurek, Shawn","SR-4","Lynchburg","25:46.2"
"1721","Bensley, Cameron","JR-3","Berry","25:47.2"
"1722","Woodfolk, Drew","SO-2","Washington and Lee","25:49.5"
"1723","Little, Tyler","SO-2","Berea","25:51.3"
"1724","Bernstein , Ethan","SO-2","Washington and Lee","25:53.7"
"1725","Briant, Jared","SO-2","Rhodes","25:54.5"
"1726","Dillon, Matt","JR-3","Emory","25:55.8"
"1727","Marx, Freddie","JR-3","Washington and Lee","25:55.9"
"1728","Rohrman, Tyler","SR-4","Hardin-Simmons","25:58.5"
"1729","Marcus, Jon","SO-2","Emory","25:59.3"
"1730","McKenzie, Logan","SR-4","Berea","26:00.4"
"1731","Hazelwood, Ben","SO-2","Rhodes","26:02.5"
"1732","Villa, Mateo","SR-4","Oglethorpe","26:05.1"
"1733","Roberts, Parker","SR-4","Berry","26:08.0"
"1734","Kinne, Austin","SR-4","Washington and Lee","26:09.2"
"1735","Sharkey, Reid","SR-4","Lynchburg","26:10.0"
"1736","Yeager, Brendan","FR-1","Covenant","26:13.2"
"1737","Schweers, Dillon","JR-3","Mary Washington","26:13.8"
"1738","Brown, Patrick","FR-1","Mary Washington","26:18.6"
"1739","Fair, Avery","SO-2","Berea","26:18.8"
"1740","Harris , Michael","SR-4","Ozarks (Ark.)","26:23.7"
"1741","Johnson, Andrew","JR-3","Lynchburg","26:24.0"
"1742","Harvey, Spencer","FR-1","Centre","26:24.7"
"1743","O'Rourke, John","FR-1","Catholic","26:26.0"
"1744","Broussard, Mack","JR-3","East Texas Baptist","26:29.2"
"1745","Speeney, Eric","JR-3","Christopher Newport","26:30.0"
"1746","Straits, Brennan","SO-2","Lynchburg","26:33.3"
"1747","Uriegas, Andres","JR-3","UT-Dallas","26:34.0"
"1748","Batchelor, Ethan","SR-4","Lynchburg","26:35.3"
"1749","Koltisko, Sam","FR-1","Christopher Newport","26:37.1"
