"","NAME","YEAR","TEAM","TIME","DATE","COURSE"
"1670","Lot, William","FR-1","Gordon","32:41.7","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1671","Mullen, Kyle","SR-4","Lasell","32:52.7","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1672","Meserve, Cameron","FR-1","Thomas College","32:58.7","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1673","Giacomuzzi, Hunter","SR-4","Maine Maritime","33:02.3","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1674","Martinez, Kyandre","JR-3","Eastern Nazarene","33:10.6","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1675","Curley, Brendan","JR-3","Elms","33:22.2","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1676","Kuca, Owen","SO-2","SUNY Canton","33:30.3","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1677","Pasquarello, Nathan","JR-3","Johnson & Wales (R.I.)","33:34.3","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1678","Ross, Derek","SO-2","Western Conn. St. Univ.","33:49.2","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1679","Clark, Nicholas","FR-1","Maine-Presque Isle","34:22.3","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1680","Aiguier, Sam","FR-1","Maine-Farmington","34:27.4","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1681","Maldonado, Alejandro","FR-1","UMass Boston","34:29.5","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1682","Cianciolo, Donald","JR-3","Elms","34:32.7","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1683","McAlister, Devin","FR-1","Emerson","34:41.7","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1684","Crocker, Josh","SO-2","Thomas College","34:53.0","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1685","Morin, Cam","SO-2","Maine-Farmington","35:05.0","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1686","O'Melia, Daniel","JR-3","Elms","35:28.1","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1687","Merrigan, Joseph","SO-2","Eastern Nazarene","35:36.3","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1688","Peet, Jacob","SR-4","Castleton University","35:44.6","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1689","Chhorn, Chamroeun","SO-2","St. Joseph (Conn.)","35:45.9","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1690","Persall, Sam","JR-3","Emerson","36:07.4","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1691","Gilding, Peter","JR-3","NVU-Lyndon","36:08.4","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1692","McCreary, Bennett","SO-2","Elms","36:11.4","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1693","LaBruto, Anthony","FR-1","Emerson","36:12.3","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1694","Soper, Joel","FR-1","Maine-Presque Isle","36:14.6","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1695","Wallin, Kevin","SR-4","Lasell","37:29.1","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1696","Velasquez, Alejandro","SO-2","Western Conn. St. Univ.","39:05.9","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1697","Folk , Seth","SO-2","Eastern Nazarene","39:11.5","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1698","Jones, Theodore","SR-4","Mass. Liberal Arts","DNF","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1699","Sclafani, Dominic","SO-2","Wheaton (Mass.)","DNS","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1700","Simoneau, Alex","SO-2","WPI","DNS","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1701","Hoyle, Zachariah","JR-3","Southern Maine","DNS","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1702","Whetstone, Jack","JR-3","Emory","24:49.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1703","Sparks,  Maximillian","SO-2","Lynchburg","25:07.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1704","Gibson, Jeff","SR-4","Mary Washington","25:08.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1705","Moore, Spencer","SO-2","Emory","25:11.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1706","Freyaldenhoven, Toler","SR-4","Rhodes","25:14.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1707","Myers, Michael","SR-4","Southern Virginia","25:16.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1708","Cox, John","JR-3","Emory","25:17.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1709","Rankin , Nathaneal","JR-3","Ozarks (Ark.)","25:19.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1710","Bellow, Harry","SR-4","Trinity (Tex.)","25:20.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1711","Salgado, Sair","SO-2","Berea","25:24.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1712","Lucas, Brett","SO-2","Emory","25:27.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1713","Lattuca, Skyler","SO-2","Virginia Wesleyan","25:29.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1714","Cope, Daniel","JR-3","Washington and Lee","25:33.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1715","Midyett, Ash","SR-4","U. of the South","25:35.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1716","Putnam, Jason","SR-4","Christopher Newport","25:38.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1717","Carson, Tanner","SR-4","Berea","25:42.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1718","Wilson, Luke","FR-1","Berea","25:44.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1719","Kattenberg, Egan","JR-3","Emory","25:45.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1720","Gmurek, Shawn","SR-4","Lynchburg","25:46.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1721","Bensley, Cameron","JR-3","Berry","25:47.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1722","Woodfolk, Drew","SO-2","Washington and Lee","25:49.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1723","Little, Tyler","SO-2","Berea","25:51.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1724","Bernstein , Ethan","SO-2","Washington and Lee","25:53.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1725","Briant, Jared","SO-2","Rhodes","25:54.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1726","Dillon, Matt","JR-3","Emory","25:55.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1727","Marx, Freddie","JR-3","Washington and Lee","25:55.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1728","Rohrman, Tyler","SR-4","Hardin-Simmons","25:58.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1729","Marcus, Jon","SO-2","Emory","25:59.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1730","McKenzie, Logan","SR-4","Berea","26:00.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1731","Hazelwood, Ben","SO-2","Rhodes","26:02.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1732","Villa, Mateo","SR-4","Oglethorpe","26:05.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1733","Roberts, Parker","SR-4","Berry","26:08.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1734","Kinne, Austin","SR-4","Washington and Lee","26:09.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1735","Sharkey, Reid","SR-4","Lynchburg","26:10.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1736","Yeager, Brendan","FR-1","Covenant","26:13.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1737","Schweers, Dillon","JR-3","Mary Washington","26:13.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1738","Brown, Patrick","FR-1","Mary Washington","26:18.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1739","Fair, Avery","SO-2","Berea","26:18.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1740","Harris , Michael","SR-4","Ozarks (Ark.)","26:23.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1741","Johnson, Andrew","JR-3","Lynchburg","26:24.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1742","Harvey, Spencer","FR-1","Centre","26:24.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1743","O'Rourke, John","FR-1","Catholic","26:26.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1744","Broussard, Mack","JR-3","East Texas Baptist","26:29.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1745","Speeney, Eric","JR-3","Christopher Newport","26:30.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1746","Straits, Brennan","SO-2","Lynchburg","26:33.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1747","Uriegas, Andres","JR-3","UT-Dallas","26:34.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1748","Batchelor, Ethan","SR-4","Lynchburg","26:35.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1749","Koltisko, Sam","FR-1","Christopher Newport","26:37.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1750","Bingham, Murray","FR-1","Southern Virginia","26:38.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1751","Lathbury, Bradshaw","FR-1","Berry","26:39.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1752","Allison, Micaiah","JR-3","Covenant","26:39.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1753","Edwards, Andrew","JR-3","Centre","26:40.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1754","Chandler, Kazdyn","FR-1","Southern Virginia","26:42.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1755","Holt, Keaton","JR-3","Trinity (Tex.)","26:42.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1756","Ellenberger, Mark","SO-2","Rhodes","26:43.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1757","Gray, Matthew","SR-4","Centre","26:44.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1758","O'Cadiz, Matthew","SO-2","Mary Washington","26:45.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1759","Jordan, Owen","FR-1","Berry","26:47.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1760","Barganier, Jack","SR-4","U. of the South","26:47.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1761","Irwin, Noah","FR-1","Piedmont","26:48.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1762","Tolarchyk, Nicholas","SO-2","Christopher Newport","26:48.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1763","McGrade, David","JR-3","Centre","26:49.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1764","Moranos, Connor","SO-2","Piedmont","26:49.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1765","Topoly, Drew","FR-1","Methodist","26:50.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1766","Evans, Nicholas","SR-4","Oglethorpe","26:52.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1767","Reyna, Christopher","SR-4","UT-Dallas","26:52.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1768","Alderfer, Isaac","SO-2","Eastern Mennonite","26:53.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1769","Zulauf, Chamberlain","SO-2","Roanoke","26:53.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1770","Seitz, Matthew","JR-3","Covenant","26:53.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1771","Stafford, Garrett","JR-3","Piedmont","26:54.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1772","Beckett, Daniel","SR-4","Maryville (Tenn.)","26:55.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1773","Murphy, Patrick","FR-1","Mary Washington","26:56.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1774","Ames, Paul","FR-1","Catholic","26:57.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1775","Verrett, Connor","FR-1","Washington and Lee","26:58.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1776","Griggs, Bryce","SR-4","Piedmont","26:59.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1777","Navarro, Raymond","SO-2","Austin College","27:00.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1778","Freeman, Benjamin","SR-4","Rhodes","27:00.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1779","Sulcer, Jordan","JR-3","Virginia Wesleyan","27:01.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1780","Sakakini, Trent","SO-2","UT-Dallas","27:01.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1781","Dennis, Noah","FR-1","Southwestern (Tex.)","27:03.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1782","Griffith, Ben","SR-4","Rhodes","27:04.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1783","Mason, Blake","SO-2","Mary Washington","27:05.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1784","Conway, Chad","SO-2","Trinity (Tex.)","27:06.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1785","Meade, Rodrigo","JR-3","Oglethorpe","27:07.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1786","McCroy, Connor","FR-1","Lynchburg","27:07.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1787","Mallett, Cam","SR-4","Berry","27:08.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1788","Reinhart, Brian","FR-1","Catholic","27:10.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1789","Polio, Sam","FR-1","Centre","27:10.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1790","Allen, Justice","JR-3","Eastern Mennonite","27:12.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1791","Thomas, Bryce","FR-1","Berry","27:14.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1792","Whittemore, Ben","FR-1","Trinity (Tex.)","27:14.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1793","George, Jonathan","JR-3","Covenant","27:15.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1794","Ward, Will","JR-3","Christopher Newport","27:15.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1795","Camuel, Ben","FR-1","Centre","27:17.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1796","Mitchell, Zach","FR-1","Hardin-Simmons","27:18.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1797","Le Mahieu, Leif","JR-3","Covenant","27:19.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1798","Bowen, Andrew","JR-3","North Carolina Wesleyan","27:20.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1799","Jacobs, Alvin","JR-3","Piedmont","27:20.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1800","Kearley, Sam","FR-1","U. of the South","27:20.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1801","Nightingale, Lorien","","LeTourneau","27:20.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1802","Fulton, Emerson","FR-1","Rhodes","27:21.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1803","Galloway, Nathan","SR-4","Piedmont","27:21.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1804","Halverson, Gary","FR-1","Piedmont","27:21.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1805","Davis , Griffin","FR-1","UT-Dallas","27:24.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1806","Tippette, Christian","JR-3","North Carolina Wesleyan","27:27.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1807","Smith, Peter","SO-2","Roanoke","27:27.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1808","Sandoval, Craig","FR-1","Trinity (Tex.)","27:27.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1809","Leo, Vincent","FR-1","Bridgewater (Va.)","27:29.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1810","Mellott, Ben","FR-1","Covenant","27:29.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1811","Biffar, Johnny","JR-3","Austin College","27:31.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1812","Ridley, Thomas","SO-2","Oglethorpe","27:31.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1813","Hamacher, Ryan","FR-1","Roanoke","27:32.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1814","Goldston, Aidan","SO-2","Oglethorpe","27:33.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1815","Willis, Nathaniel","SR-4","Roanoke","27:35.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1816","Wertz, Jonathan","SO-2","Methodist","27:35.9","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1817","Magallen, Sammy","JR-3","Hardin-Simmons","27:37.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1818","Meza, Joseph","FR-1","McMurry","27:38.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1819","Tres, Michael","SR-4","Virginia Wesleyan","27:38.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1820","McIntyre, Charles","SO-2","Austin College","27:39.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1821","Pirozzi, Cosmo","SR-4","Catholic","27:41.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1822","Taylor, Adam","FR-1","Millsaps","27:41.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1823","Biffar, Chris","JR-3","Austin College","27:42.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1824","Deel, Andrew","FR-1","Roanoke","27:43.2","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1825","Ayers, Connor","JR-3","Methodist","27:43.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1826","Gabriel, John","SR-4","UT-Dallas","27:44.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1827","Powers, Jack","JR-3","Trinity (Tex.)","27:46.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1828","Henderson, Ryan","SO-2","Christopher Newport","27:47.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1829","Cusack, Wesley","FR-1","U. of the South","27:47.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1830","Miller , Jaeden","JR-3","Ozarks (Ark.)","27:49.1","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1831","Kirschner, Jackson","SO-2","Mary Washington","27:52.8","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1832","Howell, Noah","JR-3","Bridgewater (Va.)","27:53.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1833","Atkins, Bram","JR-3","U. of the South","27:53.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1834","Hayes, Connor","SO-2","North Carolina Wesleyan","27:54.5","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1835","Shaulis, C.P.","SO-2","Southwestern (Tex.)","27:56.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1836","Albright, Cooper","FR-1","Christopher Newport","27:57.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1837","Thomas, Andrew","SO-2","Austin College","27:57.4","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1838","Clarke, Kyle","FR-1","Washington and Lee","27:57.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1839","Smith, River","JR-3","Hardin-Simmons","27:58.0","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1840","Saia, Sam","JR-3","Millsaps","27:59.7","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1841","Gambrell, Spencer","FR-1","LeTourneau","28:01.6","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
"1842","Kaufman, Clay","FR-1","Eastern Mennonite","28:03.3","November 16, 2019
","
Rhodes (Eastern Deadline)
6900 Mullins Station Rd
Memphis, TN 38018
  "
